LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID664535,664535,17,5.610229492,739.357995,697.9447817,0,0,0,12.5,1,,40.5659051,38,0,86,23082,14.97614174,0.585754401,2.001109525
ID664530,664530,27,5.718345642,999.7669554,533.0047693,0,0,0,12.5,1,,43.89806678,41,0,85,24978,15.12507059,0.549051118,2.057429731
ID664349,664349,17,6.226852417,740.0536077,697.5000628,0,1,1,12.5,1,,46.42003515,44,0,100,26413,15.98902636,0.5463584,2.051544344
ID664344,664344,27,5.918567657,998.832668,533.2091111,0,1,1,12.5,1,,45.24956063,42,0,87,25747,15.47172355,0.545852491,2.065441561
ID664461,664461,17,5.634664536,739.7605557,697.9059745,0,2,2,12.5,1,,40.51142355,38,0,87,23051,15.38486176,0.586727686,1.947368246
ID664456,664456,27,6.228336334,997.056903,534.2256464,0,2,2,12.5,1,,49.21265378,46,0,92,28002,15.59033585,0.527582937,2.180405416
ID664498,664498,17,5.982795715,739.77059,697.5344802,0,3,3,12.5,1,,43.73462214,41,0,94,24885,15.88087963,0.565620585,1.989846173
ID664493,664493,27,6.155345917,997.1537493,534.0117569,0,3,3,12.5,1,,48.50966608,46,0,93,27602,15.50137413,0.527098711,2.160294331
ID664387,664387,17,6.016513824,739.4558806,697.5192404,0,4,4,12.5,1,,44.1370826,41,0,95,25114,15.51880433,0.562256535,2.04718704
ID664382,664382,27,6.194202423,998.3174114,533.7680087,0,4,4,12.5,1,,49.92618629,47,0,94,28408,16.07754644,0.51603093,2.114006348
ID664314,664314,17,5.85654068,740.5162632,697.8032591,0,5,5,12.5,1,,41.74692443,39,0,89,23754,15.86427674,0.578102976,1.927986862
ID664309,664309,27,6.236171722,997.4972629,534.4642625,0,5,5,12.5,1,,49.91564148,47,0,93,28402,16.04636497,0.521760566,2.133118159
ID664425,664425,17,5.949291229,739.6294041,698.2148214,0,6,6,12.5,1,,43.76625659,42,0,91,24903,15.83163575,0.563844732,1.993469082
