Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID405822,405822,2,0.933,474.322,553.794,0,0,0,7.500,1,-10921639,4.425,3,0,23,978,3.900,4.223,0.694,0.930
ID405838,405838,2,0.861,471.124,556.621,0,1,1,7.500,1,-10921639,4.425,3,0,20,978,3.669,20.923,0.626,0.928
ID405798,405798,2,0.906,468.766,558.827,0,2,2,7.500,1,-10921639,4.751,4,0,22,1050,3.526,12.965,0.666,1.078
ID405830,405830,2,0.953,465.550,560.505,0,3,3,7.500,1,-10921639,4.498,3,0,27,994,4.316,3.000,0.638,0.812
ID405806,405806,2,0.848,462.809,562.887,0,4,4,7.500,1,-10921639,4.077,3,0,21,901,3.887,3.000,0.636,0.816
ID405814,405814,2,0.692,456.735,568.389,0,5,5,7.500,1,-10921639,3.593,3,0,19,794,3.027,20.044,0.576,0.868
ID405790,405790,2,0.821,453.080,571.486,0,6,6,7.500,1,-10921639,4.109,3,0,17,908,3.452,9.016,0.623,0.914
ID405782,405782,2,1.026,449.767,573.801,0,7,7,7.500,1,-10921639,4.507,3,0,25,996,4.440,3.992,0.685,0.825
ID405870,405870,2,0.795,447.758,575.747,0,8,8,7.500,1,-10921639,3.828,3,0,24,846,3.599,3.000,0.603,0.800
ID405894,405894,2,0.945,444.309,577.596,0,9,9,7.500,1,-10921639,4.330,3,0,22,957,4.226,4.202,0.656,0.812
ID405878,405878,2,0.825,439.018,581.335,0,10,10,7.500,1,-10921639,3.914,3,0,21,865,3.485,3.000,0.685,0.914
ID405862,405862,2,0.901,434.968,583.269,0,11,11,7.500,1,-10921639,4.217,3,0,20,932,3.577,8.628,0.682,0.956
ID405854,405854,2,0.865,431.843,585.794,0,12,12,7.500,1,-10921639,4.081,3,0,25,902,4.166,3.877,0.637,0.762
ID405886,405886,2,0.838,428.850,588.047,0,13,13,7.500,1,-10921639,4.213,3,0,16,931,3.640,4.219,0.621,0.887
ID405902,405902,2,0.952,425.107,591.090,0,14,14,7.500,1,-10921639,4.398,3,0,20,972,3.949,13.311,0.744,0.950
ID405846,405846,2,0.799,420.022,594.105,0,15,15,7.500,1,-10921639,3.982,3,0,18,880,3.602,21.029,0.624,0.849
ID405926,405926,2,1.114,416.387,595.717,0,16,16,7.500,1,-10921639,5.109,3,0,26,1129,4.637,8.950,0.690,0.899
ID405958,405958,2,1.009,413.785,596.891,0,17,17,7.500,1,-10921639,4.747,3,0,23,1049,4.062,13.258,0.734,0.989
ID405910,405910,2,0.862,411.997,598.159,0,18,18,7.500,1,-10921639,4.063,3,0,25,898,3.529,3.000,0.705,0.952
ID405942,405942,2,0.980,406.964,601.337,0,19,19,7.500,1,-10921639,4.362,3,0,23,964,4.246,4.362,0.673,0.827
ID405918,405918,2,0.934,400.721,605.046,0,20,20,7.500,1,-10921639,4.448,3,0,22,983,4.332,4.170,0.636,0.798
ID405934,405934,2,1.041,397.787,607.022,0,21,21,7.500,1,-10921639,5.005,4,0,26,1106,4.203,8.852,0.684,0.967
ID405950,405950,2,0.960,393.567,608.457,0,22,22,7.500,1,-10921639,4.357,3,0,21,963,4.396,4.320,0.672,0.797
ID405966,405966,2,0.863,390.167,610.219,0,23,23,7.500,1,-10921639,4.217,3,0,23,932,3.728,13.451,0.691,0.925
ID405981,405981,2,0.881,386.759,611.835,0,24,24,7.500,1,-10921639,4.217,3,0,20,932,3.640,8.952,0.674,0.933
ID406007,406007,2,0.925,380.454,613.338,0,25,25,7.500,1,-10921639,4.421,3,0,19,977,3.900,3.986,0.661,0.902
ID405988,405988,2,0.926,376.784,615.080,0,26,26,7.500,1,-10921639,4.570,4,0,19,1010,3.768,3.000,0.658,0.962
ID405974,405974,2,0.934,373.086,617.250,0,27,27,7.500,1,-10921639,4.538,4,0,19,1003,3.835,9.347,0.751,1.015
ID405994,405994,2,0.969,368.632,618.599,0,28,28,7.500,1,-10921639,4.412,3,0,22,975,4.483,9.437,0.680,0.797
