Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID7,7,1,0.644,359.277,410.974,0,0,0,7.500,1,-10921639,6.534,5,0,23,1444,4.540,28.500,0.176,0.431
ID15,15,1,0.673,362.466,405.185,0,1,1,7.500,1,-10921639,6.665,5,0,22,1473,4.759,26.600,0.163,0.394
ID5,5,1,0.556,368.631,406.097,0,2,2,7.500,1,-10921639,6.652,6,0,21,1470,4.313,9.274,0.161,0.427
ID13,13,1,0.605,372.615,404.583,0,3,3,7.500,1,-10921639,6.801,6,0,22,1503,4.414,20.670,0.162,0.429
ID17,17,1,0.604,382.251,406.242,0,4,4,7.500,1,-10921639,6.661,6,0,22,1472,4.203,4.497,0.191,0.508
ID11,11,1,0.775,384.647,401.952,0,5,5,7.500,1,-10921639,7.353,6,0,23,1625,4.863,9.354,0.238,0.581
ID3,3,1,0.681,389.513,399.472,0,6,6,7.500,1,-10921639,6.873,6,0,22,1519,4.950,28.500,0.183,0.430
ID9,9,1,0.619,396.148,403.778,0,7,7,7.500,1,-10921639,6.887,6,0,22,1522,4.332,26.395,0.185,0.497
ID21,21,1,0.684,399.794,398.615,0,8,8,7.500,1,-10921639,6.538,5,0,22,1445,4.637,8.126,0.187,0.444
ID19,19,1,0.620,410.723,400.969,0,9,9,7.500,1,-10921639,6.452,5,0,23,1426,4.946,9.121,0.185,0.407
ID29,29,1,0.829,414.477,396.760,0,10,10,7.500,1,-10921639,6.864,5,0,23,1517,5.358,27.628,0.237,0.491
ID23,23,1,0.757,420.402,402.390,0,11,11,7.500,1,-10921639,7.005,6,0,25,1548,4.966,9.163,0.200,0.470
ID25,25,1,0.720,426.081,396.926,0,12,12,7.500,1,-10921639,6.824,5,0,21,1508,4.875,25.397,0.186,0.438
ID31,31,1,0.722,430.695,402.346,0,13,13,7.500,1,-10921639,7.213,6,0,24,1594,5.071,9.245,0.191,0.456
ID27,27,1,0.798,440.222,400.551,0,14,14,7.500,1,-10921639,7.167,6,0,23,1584,4.889,9.367,0.236,0.561
ID33,33,1,0.646,444.910,401.850,0,15,15,7.500,1,-10921639,6.471,5,0,19,1430,4.491,26.054,0.184,0.448
ID35,35,1,0.718,450.724,400.905,0,16,16,7.500,1,-10921639,6.928,5,0,21,1531,4.805,25.708,0.190,0.461
ID41,41,1,0.749,455.140,404.974,0,17,17,7.500,1,-10921639,6.910,5,0,23,1527,5.340,28.500,0.201,0.434
ID43,43,1,0.849,458.973,406.691,0,18,18,7.500,1,-10921639,7.516,6,0,25,1661,5.427,9.255,0.210,0.481
ID47,47,1,0.806,469.188,409.639,0,19,19,7.500,1,-10921639,7.566,6,0,23,1672,5.188,26.654,0.232,0.549
ID45,45,1,0.645,473.271,412.153,0,20,20,7.500,1,-10921639,6.878,6,0,20,1520,4.863,28.500,0.170,0.412
ID39,39,1,0.841,479.593,412.642,0,21,21,7.500,1,-10921639,7.376,6,0,23,1630,5.358,27.240,0.220,0.497
ID37,37,1,0.696,484.257,417.321,0,22,22,7.500,1,-10921639,7.104,6,0,22,1570,4.786,27.143,0.199,0.493
