Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID31647,31647,4,0.546,776.765,497.200,0,0,0,12.500,1,-10921639,3.905,3,0,25,2222,3.668,31.188,0.387,0.595
ID31655,31655,4,0.529,768.674,494.840,0,1,1,12.500,1,-10921639,3.752,3,0,26,2135,3.649,30.297,0.327,0.507
ID31679,31679,4,0.553,762.677,490.423,0,2,2,12.500,1,-10921639,3.659,3,0,27,2082,3.661,30.984,0.381,0.552
ID31639,31639,4,0.549,749.414,484.946,0,3,3,12.500,1,-10921639,3.764,3,0,18,2142,3.317,33.782,0.382,0.628
ID31671,31671,4,0.672,744.758,483.657,0,4,4,12.500,1,-10921639,4.049,3,0,23,2304,4.008,34.491,0.451,0.628
ID31695,31695,4,0.561,736.777,480.672,0,5,5,12.500,1,-10921639,3.620,2,0,24,2060,3.912,34.627,0.410,0.538
ID31687,31687,4,0.562,729.919,476.474,0,6,6,12.500,1,-10921639,3.821,3,0,25,2174,3.829,34.980,0.365,0.534
ID31663,31663,4,0.518,724.405,470.868,0,7,7,12.500,1,-10921639,3.979,3,0,19,2264,3.198,35.366,0.396,0.706
ID31751,31751,4,0.553,714.502,459.365,0,8,8,12.500,1,-10921639,3.757,3,0,21,2138,3.737,30.733,0.367,0.540
ID31743,31743,4,0.592,712.235,451.752,0,9,9,12.500,1,-10921639,4.221,4,0,26,2402,3.712,41.240,0.390,0.638
ID31719,31719,4,0.517,707.413,446.352,0,10,10,12.500,1,-10921639,3.768,3,0,22,2144,3.653,30.276,0.350,0.535
ID31703,31703,4,0.542,703.553,440.126,0,11,11,12.500,1,-10921639,3.998,3,0,22,2275,3.607,34.627,0.369,0.597
ID31759,31759,4,0.563,700.159,435.742,0,12,12,12.500,1,-10921639,4.063,3,0,19,2312,3.725,35.159,0.391,0.613
ID31735,31735,4,0.576,691.935,426.032,0,13,13,12.500,1,-10921639,4.202,3,0,22,2391,3.956,34.557,0.360,0.562
ID31711,31711,4,0.619,689.448,417.676,0,14,14,12.500,1,-10921639,4.344,3,0,27,2472,4.033,35.767,0.393,0.608
ID31727,31727,4,0.610,687.285,411.915,0,15,15,12.500,1,-10921639,4.297,3,0,26,2445,3.959,34.851,0.407,0.627
ID31807,31807,4,0.584,684.824,404.207,0,16,16,12.500,1,-10921639,4.190,3,0,24,2384,3.855,34.756,0.364,0.580
