Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID445,445,10550,0.657,984.170,743.334,0,0,0,12.500,1,-10921639,6.137,5,0,25,3492,5.060,38.758,0.288,0.542
ID613,613,10550,0.663,986.093,745.485,0,1,1,12.500,1,-10921639,6.216,5,0,27,3537,5.444,37.056,0.283,0.504
ID293,293,10550,0.590,985.540,743.431,0,2,2,12.500,1,-10921639,5.619,4,0,27,3197,4.748,40.749,0.242,0.461
ID211,211,10550,0.639,982.447,741.109,0,3,3,12.500,1,-10921639,5.510,4,0,24,3135,4.595,40.683,0.246,0.473
ID533,533,10550,0.625,980.818,740.314,0,4,4,12.500,1,-10921639,5.200,4,0,28,2959,4.271,43.133,0.262,0.505
ID131,131,10550,0.672,975.169,737.754,0,5,5,12.500,1,-10921639,5.956,5,0,22,3389,4.584,40.119,0.293,0.590
ID411,411,10550,0.722,975.500,739.393,0,6,6,12.500,1,-10921639,6.452,5,0,26,3671,5.351,40.025,0.289,0.541
ID697,697,10550,0.684,975.216,738.107,0,7,7,12.500,1,-10921639,6.271,5,0,29,3568,4.908,40.794,0.267,0.538
ID855,855,10550,0.652,972.154,735.701,0,8,8,12.500,1,-10921639,5.613,4,0,28,3194,4.736,40.603,0.246,0.468
ID774,774,10550,0.642,970.907,734.448,0,9,9,12.500,1,-10921639,5.626,4,0,25,3201,4.504,44.548,0.270,0.530
ID1017,1017,10550,0.804,965.782,731.506,0,10,10,12.500,1,-10921639,5.912,5,0,24,3364,4.591,42.151,0.334,0.645
ID1188,1188,10550,0.720,963.830,730.787,0,11,11,12.500,1,-10921639,5.728,4,0,24,3259,4.676,42.942,0.282,0.539
ID1098,1098,10550,0.699,961.508,728.748,0,12,12,12.500,1,-10921639,5.452,5,0,24,3102,4.460,43.677,0.272,0.523
ID939,939,10550,0.767,958.427,726.625,0,13,13,12.500,1,-10921639,5.858,5,0,25,3333,4.795,41.031,0.294,0.555
ID1347,1347,10550,0.690,957.577,726.010,0,14,14,12.500,1,-10921639,5.112,4,0,25,2909,4.468,43.686,0.260,0.472
ID1266,1266,10550,0.658,950.406,721.337,0,15,15,12.500,1,-10921639,5.376,4,0,26,3059,4.560,40.335,0.320,0.571
ID1666,1666,10550,0.829,949.925,719.948,0,16,16,12.500,1,-10921639,5.949,5,0,26,3385,4.868,42.995,0.323,0.597
ID1744,1744,10550,0.780,947.873,717.687,0,17,17,12.500,1,-10921639,5.605,5,0,27,3189,4.465,44.361,0.332,0.626
