Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID69392,69392,3,0.820,673.037,211.451,0,0,0,12.500,1,-10921639,8.079,6,0,35,4597,5.974,44.693,0.217,0.482
ID69294,69294,3,0.709,672.528,204.283,0,1,1,12.500,1,-10921639,7.241,5,0,28,4120,5.683,41.399,0.232,0.480
ID69262,69262,3,1.013,673.413,201.988,0,2,2,12.500,1,-10921639,8.376,6,0,33,4766,6.189,42.995,0.300,0.625
ID69426,69426,3,0.638,674.107,196.511,0,3,3,12.500,1,-10921639,6.680,6,0,24,3801,4.140,42.631,0.224,0.591
ID69458,69458,3,0.920,676.962,197.618,0,4,4,12.500,1,-10921639,8.111,7,0,29,4615,5.724,41.535,0.254,0.575
ID69229,69229,3,0.642,679.168,194.964,0,5,5,12.500,1,-10921639,7.517,6,0,24,4277,4.868,39.613,0.225,0.568
ID69328,69328,3,0.954,682.972,196.928,0,6,6,12.500,1,-10921639,8.267,6,0,36,4704,6.515,39.550,0.292,0.574
ID69360,69360,3,1.248,683.688,197.633,0,7,7,12.500,1,-10921639,9.030,6,0,42,5138,8.115,10.582,0.325,0.545
ID69490,69490,3,1.146,683.524,197.732,0,8,8,12.500,1,-10921639,8.757,6,0,41,4983,7.257,42.851,0.310,0.571
ID69523,69523,3,1.297,684.065,197.242,0,9,9,12.500,1,-10921639,10.054,8,0,43,5721,7.634,40.605,0.325,0.647
ID69685,69685,3,1.321,684.497,196.486,0,10,10,12.500,1,-10921639,9.942,8,0,50,5657,8.356,39.917,0.331,0.591
ID69555,69555,3,1.202,681.449,195.629,0,11,11,12.500,1,-10921639,9.308,7,0,49,5296,7.745,44.229,0.285,0.533
ID69588,69588,3,0.866,678.814,191.261,0,13,13,12.500,1,-10921639,7.670,6,0,35,4364,6.136,40.755,0.242,0.488
ID69651,69651,3,0.561,682.515,191.533,0,14,14,12.500,1,-10921639,6.953,6,0,25,3956,4.491,44.086,0.197,0.510
ID69716,69716,3,0.946,682.315,185.632,0,15,15,12.500,1,-10921639,8.056,6,0,35,4584,5.946,42.634,0.248,0.539
ID69783,69783,3,0.918,684.195,182.019,0,17,17,12.500,1,-10921639,8.165,6,0,33,4646,5.990,41.287,0.259,0.561
ID69880,69880,3,0.608,692.366,174.107,0,18,18,12.500,1,-10921639,7.485,7,0,25,4259,4.937,35.063,0.254,0.615
ID69978,69978,3,0.961,679.783,178.516,0,19,19,12.500,1,-10921639,7.779,5,0,35,4426,6.509,41.587,0.250,0.477
ID69911,69911,3,0.538,681.400,174.315,0,20,20,12.500,1,-10921639,6.863,6,0,22,3905,4.770,40.763,0.188,0.456
ID69944,69944,3,0.714,679.138,170.823,0,21,21,12.500,1,-10921639,6.571,5,0,30,3739,5.187,42.653,0.199,0.421
ID69815,69815,3,0.818,678.866,168.067,0,22,22,12.500,1,-10921639,6.610,5,0,30,3761,5.651,43.665,0.216,0.416
ID69848,69848,3,0.902,677.123,165.091,0,23,23,12.500,1,-10921639,7.274,5,0,32,4139,6.067,44.353,0.240,0.465
ID70009,70009,3,0.724,684.174,159.783,0,24,24,12.500,1,-10921639,8.105,7,0,26,4612,5.111,24.934,0.321,0.771
ID70042,70042,3,0.885,680.634,156.966,0,25,25,12.500,1,-10921639,8.786,8,0,33,4999,5.956,27.305,0.327,0.727
ID70074,70074,3,0.945,681.675,154.945,0,26,26,12.500,1,-10921639,8.931,8,0,35,5082,6.408,40.855,0.315,0.667
ID70105,70105,3,0.707,682.793,151.774,0,27,27,12.500,1,-10921639,8.262,7,0,28,4701,6.183,40.075,0.283,0.590
ID70197,70197,3,0.969,676.905,154.614,0,28,28,12.500,1,-10921639,8.492,7,0,33,4832,6.965,35.612,0.277,0.529
ID70165,70165,3,1.387,679.027,154.151,0,29,29,12.500,1,-10921639,10.592,8,0,51,6027,8.491,39.397,0.334,0.625
ID70231,70231,3,1.888,678.626,153.978,0,30,30,12.500,1,-10921639,12.283,9,0,57,6989,10.427,40.017,0.416,0.692
